Date,SPY,AAPL,GOOG,MRK,JNJ,WMT,TGT
3/4/20,0.042,0.0464,0.0336,0.0485,0.0582,0.0342,0.0187
3/5/20,-0.0332,-0.0324,-0.0487,-0.0168,-0.0102,-0.0073,-0.0172
3/6/20,-0.0165,-0.0133,-0.0156,0.0076,1e-04,0.0113,-2.00E-04
3/9/20,-0.0781,-0.0791,-0.0638,-0.0394,-0.0394,-6.00E-04,-0.0181
3/10/20,0.0517,0.072,0.0533,0.0388,0.0381,0.0224,0.0413
3/11/20,-0.0487,-0.0347,-0.0508,-0.0338,-0.0695,-0.0447,-0.0254
3/12/20,-0.0957,-0.0988,-0.0827,-0.0606,-0.0485,-0.0907,-0.1228
3/13/20,0.0855,0.1198,0.094,0.0394,0.0708,0.0966,0.0907
3/16/20,-0.1094,-0.1286,-0.111,-0.089,-0.0533,-0.0643,-0.0716
3/17/20,0.054,0.044,0.0327,0.0652,0.0744,0.1171,0.1049
3/18/20,-0.0506,-0.0245,-0.0205,-0.0383,-0.0119,0.0278,-0.0078
3/19/20,0.0021,-0.0077,0.0169,-0.0126,-0.0586,-0.0212,-0.0226
3/20/20,-0.0431,-0.0635,-0.0385,0.0089,-0.0564,-0.0459,-0.0308
3/23/20,-0.0256,-0.0212,-0.0146,-0.0695,-0.073,0.0027,-0.0073
3/24/20,0.0906,0.1003,0.0737,0.0399,0.0723,0.0066,0.04
3/25/20,0.015,-0.0055,-0.0282,-0.012,0.0018,-0.0489,-0.0947
3/26/20,0.0584,0.0526,0.0538,0.0778,0.0601,0.0038,0.0553
3/27/20,-0.0298,-0.0414,-0.0439,-0.0245,-0.0269,-0.0022,-0.0138
3/30/20,0.0325,0.0285,0.0325,0.0728,0.08,0.0512,0.0134
3/31/20,-0.0149,-0.002,0.0139,-1.00E-04,-0.0141,-0.0136,-0.0317
